0,,,,,,,
0.1,0,,,,,,
0.043,0.022,0,,,,,
0.06,0.031,0.014,0,,,,
0.072,0.026,0.02,0.019,0,,,
0.074,0.038,0.032,0.021,0.09,0,,
0.085,0.057,0.042,0.027,0.023,0.019,,
0.13,0.098,0.064,0.043,0.042,0.037,0.043,0
